text,hs_code,hs_chapter,hs_desc,language
"Primary aluminium, 99.85% pure, ingots, for customs clearance and import declaration, for scheduled maritime transport.",760110,Metals,"Unwrought aluminium, not alloyed",en
"Imported other medical instruments, customs declaration, for industrial procurement contract, for mixed-lot cargo.",901890,Medical,Other medical instruments,en
"Trade declaration: television cameras and digital cameras, new",852580,Electronics,Television cameras and digital cameras,en
"Áo thun cotton dệt kim, cổ tròn, nam",610910,Garments,"T-shirts and singlets, cotton, knitted",vi
"Trade declaration: other parts of cranes, new, for international wholesale distribution, with standard commercial invoice and packing list.",843149,Machinery,Other parts of cranes,en
"Export grade plates and sheets of ethylene polymers, certified, for industrial procurement contract, for 20ft container loading.",392010,Plastics,Plates and sheets of ethylene polymers,en
"Imported natural gas, liquefied, customs declaration, for customs clearance and import declaration, for 20ft container loading.",271111,Mineral Fuels,"Natural gas, liquefied",en
"Storage units for computers, quantity: various, for wholesale",847170,Electronics,Storage units for computers,en
"Shipment of other frozen fish, FOB terms, for regional retail supply chain, with standard commercial invoice and packing list.",030389,Fish,Other frozen fish,en
"Organic raw cotton, not processed",520100,Textiles,"Cotton, not carded or combed",en
"Fresh or chilled onions and shallots for industrial/commercial use, for customs clearance and import declaration, for mixed-lot cargo.",070310,Vegetables,Fresh or chilled onions and shallots,en
"Trade declaration: road tractors for semi-trailers, new",870120,Vehicles,Road tractors for semi-trailers,en
"Export grade other frozen fish, certified",030389,Fish,Other frozen fish,en
Other beauty or make-up preparations for industrial/commercial use,330499,Cosmetics,Other beauty or make-up preparations,en
"Cherry tomatoes, fresh, in 250g punnets, for cross-border shipment, shipping term CIF.",070200,Vegetables,"Tomatoes, fresh or chilled",en
"Raw coffee beans, Brazilian Santos grade, for bonded warehouse delivery, for 20ft container loading.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",en
"Boneless frozen cow meat, HALAL certified, for cross-border shipment, with standard commercial invoice and packing list.",020230,Meat,Frozen boneless bovine meat,en
"Other structures of iron or steel - standard quality, bulk shipment",730890,Steel,Other structures of iron or steel,en
"Other electronic integrated circuits for industrial/commercial use, for cross-border shipment, palletized for container shipment.",854239,Electronics,Other electronic integrated circuits,en
"ARM-based processor ICs, mobile SoC, for international wholesale distribution, shipping term FOB.",854231,Electronics,"Electronic integrated circuits, processors",en
"Plates and sheets of ethylene polymers, packed for international trade, for customs clearance and import declaration, palletized for container shipment.",392010,Plastics,Plates and sheets of ethylene polymers,en
"Imported pepper, neither crushed nor ground, customs declaration, for industrial procurement contract, shipping term CIF.",090411,Spices,"Pepper, neither crushed nor ground",en
"Trade declaration: other cheese, new, for regional retail supply chain, for scheduled maritime transport.",040690,Dairy,Other cheese,en
"Shipment of beans, fresh or chilled, FOB terms, for bulk procurement program, for 20ft container loading.",070820,Vegetables,"Beans, fresh or chilled",en
"Other needles, catheters, packed for international trade",901839,Medical,"Other needles, catheters",en
"Natural gas, liquefied, meeting international standards, for cross-border shipment, with standard commercial invoice and packing list.",271111,Mineral Fuels,"Natural gas, liquefied",en
"Trade declaration: other frozen fish, new, for customs clearance and import declaration, with standard commercial invoice and packing list.",030389,Fish,Other frozen fish,en
"Export grade milk with fat content 1-6%, certified, for export under standard commercial terms, for mixed-lot cargo.",040120,Dairy,Milk with fat content 1-6%,en
"Ethylene glycol, quantity: various, for wholesale",290531,Chemicals,Ethylene glycol,en
"Fresh or chilled onions and shallots - standard quality, bulk shipment",070310,Vegetables,Fresh or chilled onions and shallots,en
"Soya beans, other, quantity: various, for wholesale, for bonded warehouse delivery, packed in cartons.",120190,Oil Seeds,"Soya beans, other",en
Electrical energy for industrial/commercial use,271600,Mineral Fuels,Electrical energy,en
"Shipment of electronic integrated circuits, memories, FOB terms",854232,Electronics,"Electronic integrated circuits, memories",en
"Other cheese, packed for international trade, for industrial procurement contract, shipping term FOB.",040690,Dairy,Other cheese,en
"Refurbished portable computer, 14 inch",847130,Electronics,Portable digital computers <10kg,en
"Imported aeroplanes, unladen weight 2000-15000kg, customs declaration, for bonded warehouse delivery, palletized for container shipment.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Imported electric motor cars (hybrid), customs declaration, for bonded warehouse delivery, shipping term CIF.",870340,Vehicles,Electric motor cars (hybrid),en
"Shipment of sweet biscuits, FOB terms",190531,Food Preparations,Sweet biscuits,en
"CPU集成电路 服务器级别, for bonded warehouse delivery, for scheduled maritime transport.",854231,Electronics,"Electronic integrated circuits, processors",zh
"Bulbs, tubers for planting, quantity: various, for wholesale, for customs clearance and import declaration, shipping term FOB.",060110,Plants,"Bulbs, tubers for planting",en
"New winter snow tires for cars, for bulk procurement program, palletized for container shipment.",401110,Rubber,New pneumatic tyres for cars,en
"Casual trainers, rubber sole, canvas upper, for customs clearance and import declaration, with standard commercial invoice and packing list.",640399,Footwear,Other footwear with rubber soles,en
"Trade declaration: unwrought aluminium alloys, new, for bulk procurement program, palletized for container shipment.",760120,Metals,Unwrought aluminium alloys,en
"Insecticides, meeting international standards, for industrial procurement contract, for mixed-lot cargo.",380891,Chemicals,Insecticides,en
"生咖啡豆 阿拉比卡 未烘焙, for export under standard commercial terms, for mixed-lot cargo.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",zh
"AI accelerator chips, neural processing, for export under standard commercial terms, shipping term FOB.",854231,Electronics,"Electronic integrated circuits, processors",en
"Organic cotton T-shirts, unisex, knitted",610910,Garments,"T-shirts and singlets, cotton, knitted",en
Green tea in packages ≤3kg for industrial/commercial use,090210,Coffee/Tea,Green tea in packages ≤3kg,en
"OLED television set, 77 inch, colour, for bulk procurement program, for 20ft container loading.",852872,Electronics,Other colour TV receivers,en
"Petroleum oils, crude for industrial/commercial use, for regional retail supply chain, for 20ft container loading.",270900,Mineral Fuels,"Petroleum oils, crude",en
"HDPE pipe grade resin, black compound, for bulk procurement program, shipping term CIF.",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"Refurbished portable computer, 14 inch, for bonded warehouse delivery, shipping term FOB.",847130,Electronics,Portable digital computers <10kg,en
"Blood pressure medication, packaged, retail, for international wholesale distribution, for mixed-lot cargo.",300490,Pharmaceuticals,"Other medicaments, packaged for retail",en
"Storage units for computers, packed for international trade, for industrial procurement contract, for 20ft container loading.",847170,Electronics,Storage units for computers,en
"Trade declaration: mixtures of fruit juices, new, for cross-border shipment, shipping term CIF.",200990,Food Preparations,Mixtures of fruit juices,en
"Shipment of printed circuits, FOB terms",853400,Electronics,Printed circuits,en
"Trade declaration: petroleum oils, crude, new, for cross-border shipment, shipping term CIF.",270900,Mineral Fuels,"Petroleum oils, crude",en
"Export grade parts of turbo-jets, certified, for customs clearance and import declaration, for 20ft container loading.",841191,Machinery,Parts of turbo-jets,en
"Imported silicon, containing ≥99.99% si, customs declaration",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Imported other medical instruments, customs declaration",901890,Medical,Other medical instruments,en
"Milk with fat content 1-6%, meeting international standards, for export under standard commercial terms, palletized for container shipment.",040120,Dairy,Milk with fat content 1-6%,en
"Fresh or chilled onions and shallots, commercial grade, for import, for cross-border shipment, for scheduled maritime transport.",070310,Vegetables,Fresh or chilled onions and shallots,en
"Export grade parts and accessories for computers, certified",847330,Electronics,Parts and accessories for computers,en
"Export grade aeroplanes, unladen weight 2000-15000kg, certified",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Application processor chips for smartphones, for bulk procurement program, for scheduled maritime transport.",854231,Electronics,"Electronic integrated circuits, processors",en
"冻黑虎虾 去壳去肠线, for international wholesale distribution, for 20ft container loading.",030617,Fish,Frozen shrimps and prawns,zh
"Trade declaration: women's trousers of cotton, new",620462,Garments,Women's trousers of cotton,en
"New pneumatic tyres for buses/lorries, quantity: various, for wholesale, for international wholesale distribution, for 20ft container loading.",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Trade declaration: instruments for measuring pressure, new, for bonded warehouse delivery, for 20ft container loading.",902620,Instruments,Instruments for measuring pressure,en
"Vegetable saps and extracts, packed for international trade, for export under standard commercial terms, for 20ft container loading.",130219,Plants,Vegetable saps and extracts,en
"Cold-rolled iron or steel coil, meeting international standards, for customs clearance and import declaration, for 20ft container loading.",720917,Steel,Cold-rolled iron or steel coil,en
"Huawei mobile phone, dual camera, for bulk procurement program, palletized for container shipment.",851712,Electronics,Smartphones,en
"Dark beer from malt, bottled, 7% ABV, for regional retail supply chain, shipping term FOB.",220300,Beverages,Beer made from malt,en
"Other medium petroleum oils, quantity: various, for wholesale, for regional retail supply chain, for scheduled maritime transport.",271019,Mineral Fuels,Other medium petroleum oils,en
"Whiskies, packed for international trade, for international wholesale distribution, with standard commercial invoice and packing list.",220830,Beverages,Whiskies,en
"Pedal car for children, plastic body",950300,Toys,"Tricycles, scooters and pedal cars (toys)",en
"Natural gas, liquefied, commercial grade, for import",271111,Mineral Fuels,"Natural gas, liquefied",en
"Other medical instruments for industrial/commercial use, for regional retail supply chain, for mixed-lot cargo.",901890,Medical,Other medical instruments,en
"Toilet soap in bars, meeting international standards, for export under standard commercial terms, with standard commercial invoice and packing list.",340111,Cosmetics,Toilet soap in bars,en
"Pepper, neither crushed nor ground, meeting international standards, for customs clearance and import declaration, for scheduled maritime transport.",090411,Spices,"Pepper, neither crushed nor ground",en
"Shipment of textured polyester yarn, FOB terms",540233,Textiles,Textured polyester yarn,en
"Mixtures of fruit juices, meeting international standards, for export under standard commercial terms, packed in cartons.",200990,Food Preparations,Mixtures of fruit juices,en
"Imported cartons, boxes of corrugated paper, customs declaration, for regional retail supply chain, palletized for container shipment.",481910,Paper,"Cartons, boxes of corrugated paper",en
"Lumber, coniferous, sawn, quantity: various, for wholesale, for bonded warehouse delivery, for 20ft container loading.",440710,Wood,"Lumber, coniferous, sawn",en
"Thai jasmine rice, white, milled, 5% broken",100630,Cereals,Semi-milled or wholly milled rice,en
"Other palm oil - standard quality, bulk shipment, for industrial procurement contract, packed in cartons.",151190,Oils,Other palm oil,en
"Non-alcoholic malt beer, 0.5% ABV, for bulk procurement program, shipping term CIF.",220300,Beverages,Beer made from malt,en
"CPU集成电路 服务器级别, for export under standard commercial terms, for scheduled maritime transport.",854231,Electronics,"Electronic integrated circuits, processors",zh
"Trade declaration: unwrought aluminium alloys, new, for bonded warehouse delivery, palletized for container shipment.",760120,Metals,Unwrought aluminium alloys,en
"Spark-ignition engines >1000cc, quantity: various, for wholesale, for bulk procurement program, for 20ft container loading.",840734,Machinery,Spark-ignition engines >1000cc,en
"Export grade other electronic integrated circuits, certified, for cross-border shipment, for scheduled maritime transport.",854239,Electronics,Other electronic integrated circuits,en
"Imported storage units for computers, customs declaration",847170,Electronics,Storage units for computers,en
NMC lithium-ion batteries for storage,850760,Electronics,Lithium-ion accumulators,en
"Imported other beauty or make-up preparations, customs declaration",330499,Cosmetics,Other beauty or make-up preparations,en
"Gạo tấm, xay xát một phần, xuất khẩu, for international wholesale distribution, for mixed-lot cargo.",100630,Cereals,Semi-milled or wholly milled rice,vi
"Cotton chino pants for men, beige, for bonded warehouse delivery, for 20ft container loading.",620342,Garments,Men's trousers of cotton,en
"Export grade portland cement, other, certified, for industrial procurement contract, packed in cartons.",252329,Minerals,"Portland cement, other",en
"Textured polyester yarn, quantity: various, for wholesale",540233,Textiles,Textured polyester yarn,en
"Trade declaration: instruments for measuring pressure, new",902620,Instruments,Instruments for measuring pressure,en
"Trade declaration: other seats, new",940180,Furniture,Other seats,en
"Electrical energy, quantity: various, for wholesale, for international wholesale distribution, for scheduled maritime transport.",271600,Mineral Fuels,Electrical energy,en
"NMC lithium-ion batteries for storage, for industrial procurement contract, with standard commercial invoice and packing list.",850760,Electronics,Lithium-ion accumulators,en
"Imported other games and articles for games, customs declaration",950490,Toys,Other games and articles for games,en
"Trade declaration: bulbs, tubers for planting, new",060110,Plants,"Bulbs, tubers for planting",en
"Unbleached plain weave cotton, meeting international standards, for customs clearance and import declaration, for mixed-lot cargo.",520812,Textiles,Unbleached plain weave cotton,en
"Textured polyester yarn, packed for international trade, for industrial procurement contract, for mixed-lot cargo.",540233,Textiles,Textured polyester yarn,en
"Trade declaration: green tea in packages ≤3kg, new, for international wholesale distribution, for scheduled maritime transport.",090210,Coffee/Tea,Green tea in packages ≤3kg,en
"Export grade mineral or chemical fertilizers with npk, certified",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Chromebook, portable digital computer",847130,Electronics,Portable digital computers <10kg,en
"Laptop computer, 14 inch, 16GB RAM",847130,Electronics,Portable digital computers <10kg,en
"轻薄笔记本电脑 商务用途, for cross-border shipment, for scheduled maritime transport.",847130,Electronics,Portable digital computers <10kg,zh
"Trade declaration: polyethylene terephthalate (pet), new",390760,Plastics,Polyethylene terephthalate (PET),en
"Fresh Honeycrisp apples, sorted by size, for customs clearance and import declaration, with standard commercial invoice and packing list.",080810,Fruits,Fresh apples,en
"Imported household refrigerators, compression, customs declaration",841821,Machinery,"Household refrigerators, compression",en
"Unwrought aluminium alloys, commercial grade, for import, for bonded warehouse delivery, packed in cartons.",760120,Metals,Unwrought aluminium alloys,en
"Trade declaration: beans, fresh or chilled, new, for bulk procurement program, for mixed-lot cargo.",070820,Vegetables,"Beans, fresh or chilled",en
"55 inch LED television, 4K UHD, for customs clearance and import declaration, for mixed-lot cargo.",852872,Electronics,Other colour TV receivers,en
"Other structures of iron or steel, quantity: various, for wholesale",730890,Steel,Other structures of iron or steel,en
"Basmati rice, fully milled, 25kg bags",100630,Cereals,Semi-milled or wholly milled rice,en
"Photosensitive semiconductor devices - standard quality, bulk shipment",854140,Electronics,Photosensitive semiconductor devices,en
"Pepper, neither crushed nor ground, commercial grade, for import, for international wholesale distribution, for 20ft container loading.",090411,Spices,"Pepper, neither crushed nor ground",en
"PE-HD compound, UV stabilized, pellets",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"ยางรถยนต์ใหม่ ขนาด 205/55R16, for industrial procurement contract, shipping term FOB.",401110,Rubber,New pneumatic tyres for cars,th
"Jerseys, pullovers of man-made fibres for industrial/commercial use",611030,Garments,"Jerseys, pullovers of man-made fibres",en
"Naphtha, light fraction, for petrochemicals, for industrial procurement contract, for mixed-lot cargo.",271012,Mineral Fuels,Light petroleum oils,en
"Pilsner beer, imported, 24x330ml case",220300,Beverages,Beer made from malt,en
"Motor cars, >3000cc - standard quality, bulk shipment",870324,Vehicles,"Motor cars, >3000cc",en
"Instantaneous gas water heaters, commercial grade, for import, for international wholesale distribution, for 20ft container loading.",841911,Machinery,Instantaneous gas water heaters,en
"Export grade fresh oranges, certified, for export under standard commercial terms, shipping term FOB.",080510,Fruits,Fresh oranges,en
"Aluminium pigs, high purity, unwrought, for cross-border shipment, shipping term FOB.",760110,Metals,"Unwrought aluminium, not alloyed",en
"Other cheese - standard quality, bulk shipment",040690,Dairy,Other cheese,en
"American upland cotton, uncarded, for bulk procurement program, palletized for container shipment.",520100,Textiles,"Cotton, not carded or combed",en
"Export grade sweet biscuits, certified, for customs clearance and import declaration, with standard commercial invoice and packing list.",190531,Food Preparations,Sweet biscuits,en
"Vaccines for human medicine, meeting international standards, for bonded warehouse delivery, palletized for container shipment.",300220,Pharmaceuticals,Vaccines for human medicine,en
"Children's shoes, rubber soles, textile, for bonded warehouse delivery, for scheduled maritime transport.",640399,Footwear,Other footwear with rubber soles,en
"Shipment of crude soya-bean oil, FOB terms",150710,Oils,Crude soya-bean oil,en
"Footwear with uppers of leather, packed for international trade, for cross-border shipment, palletized for container shipment.",640510,Footwear,Footwear with uppers of leather,en
"Shipment of aeroplanes, unladen weight 2000-15000kg, FOB terms",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"比亚迪电动汽车 长续航电池, for bonded warehouse delivery, with standard commercial invoice and packing list.",870380,Vehicles,"Other motor vehicles, electric",zh
"Wine in containers ≤2L, packed for international trade",220421,Beverages,Wine in containers ≤2L,en
"冻黑虎虾 去壳去肠线, for bulk procurement program, packed in cartons.",030617,Fish,Frozen shrimps and prawns,zh
"Electronic integrated circuits, memories - standard quality, bulk shipment, for bulk procurement program, packed in cartons.",854232,Electronics,"Electronic integrated circuits, memories",en
"Women's trousers of cotton, meeting international standards",620462,Garments,Women's trousers of cotton,en
"Wheat and meslin, other, quantity: various, for wholesale",100199,Cereals,"Wheat and meslin, other",en
"Deep frozen deboned beef for processing, for industrial procurement contract, for scheduled maritime transport.",020230,Meat,Frozen boneless bovine meat,en
"Diesel motor cars, 1500-2500cc, quantity: various, for wholesale",870332,Vehicles,"Diesel motor cars, 1500-2500cc",en
"Other seats for industrial/commercial use, for industrial procurement contract, for 20ft container loading.",940180,Furniture,Other seats,en
"Unwrought aluminium billets, unalloyed, for international wholesale distribution, for 20ft container loading.",760110,Metals,"Unwrought aluminium, not alloyed",en
"Other beauty or make-up preparations, commercial grade, for import, for regional retail supply chain, palletized for container shipment.",330499,Cosmetics,Other beauty or make-up preparations,en
"Television cameras and digital cameras, packed for international trade, for regional retail supply chain, for mixed-lot cargo.",852580,Electronics,Television cameras and digital cameras,en
"Shipment of refined copper cathodes, FOB terms, for bulk procurement program, for 20ft container loading.",740311,Metals,Refined copper cathodes,en
"Imported other parts for motor vehicles, customs declaration, for cross-border shipment, shipping term CIF.",870899,Vehicles,Other parts for motor vehicles,en
"Instruments for measuring pressure - standard quality, bulk shipment",902620,Instruments,Instruments for measuring pressure,en
"Unbleached plain weave cotton - standard quality, bulk shipment, for bulk procurement program, with standard commercial invoice and packing list.",520812,Textiles,Unbleached plain weave cotton,en
"Mineral or chemical fertilizers with NPK, meeting international standards, for cross-border shipment, with standard commercial invoice and packing list.",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Coffee beans, not roasted, in 60kg jute bags",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",en
"Petroleum oils, crude, commercial grade, for import, for regional retail supply chain, with standard commercial invoice and packing list.",270900,Mineral Fuels,"Petroleum oils, crude",en
"Static converters, meeting international standards",850440,Electronics,Static converters,en
"Imported diesel motor cars, 1500-2500cc, customs declaration",870332,Vehicles,"Diesel motor cars, 1500-2500cc",en
"Compact car, petrol, 1600cc, new, for bulk procurement program, shipping term FOB.",870323,Vehicles,"Motor cars, 1500-3000cc",en
"น้ำตาลทรายขาว บรรจุถุง 50 กก., for customs clearance and import declaration, shipping term CIF.",170199,Sugar,Other cane or beet sugar,th
"Mineral or chemical fertilizers with NPK, quantity: various, for wholesale",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Vaccines for human medicine - standard quality, bulk shipment, for industrial procurement contract, for 20ft container loading.",300220,Pharmaceuticals,Vaccines for human medicine,en
"Imported road tractors for semi-trailers, customs declaration, for international wholesale distribution, for scheduled maritime transport.",870120,Vehicles,Road tractors for semi-trailers,en
"IQF frozen vannamei shrimp, 31/40 count, for cross-border shipment, for 20ft container loading.",030617,Fish,Frozen shrimps and prawns,en
"Other frozen fish, commercial grade, for import, for export under standard commercial terms, shipping term FOB.",030389,Fish,Other frozen fish,en
"Export grade parts of turbo-jets, certified, for international wholesale distribution, for 20ft container loading.",841191,Machinery,Parts of turbo-jets,en
"Other parts for motor vehicles, packed for international trade, for bulk procurement program, with standard commercial invoice and packing list.",870899,Vehicles,Other parts for motor vehicles,en
"Honda Civic, spark ignition, 1800cc, for cross-border shipment, for mixed-lot cargo.",870323,Vehicles,"Motor cars, 1500-3000cc",en
"Fresh or chilled onions and shallots, meeting international standards, for bulk procurement program, packed in cartons.",070310,Vegetables,Fresh or chilled onions and shallots,en
"Imported crude soya-bean oil, customs declaration, for regional retail supply chain, palletized for container shipment.",150710,Oils,Crude soya-bean oil,en
"Cotton chino pants for men, beige, for bonded warehouse delivery, for mixed-lot cargo.",620342,Garments,Men's trousers of cotton,en
"Fresh Pink Lady apples, 80 count boxes, for industrial procurement contract, palletized for container shipment.",080810,Fruits,Fresh apples,en
"Imported chemical wood pulp, bleached, customs declaration",470321,Paper,"Chemical wood pulp, bleached",en
"Bulk frozen shrimp, 10kg master carton",030617,Fish,Frozen shrimps and prawns,en
"Shipment of cartons, boxes of corrugated paper, FOB terms, for international wholesale distribution, shipping term CIF.",481910,Paper,"Cartons, boxes of corrugated paper",en
"Export grade crude soya-bean oil, certified, for regional retail supply chain, packed in cartons.",150710,Oils,Crude soya-bean oil,en
"Shipment of polyethylene terephthalate (pet), FOB terms, for customs clearance and import declaration, packed in cartons.",390760,Plastics,Polyethylene terephthalate (PET),en
"Spark-ignition engines >1000cc - standard quality, bulk shipment, for bonded warehouse delivery, for mixed-lot cargo.",840734,Machinery,Spark-ignition engines >1000cc,en
"Refined copper cathodes, commercial grade, for import, for international wholesale distribution, with standard commercial invoice and packing list.",740311,Metals,Refined copper cathodes,en
Frozen prawns for seafood restaurant,030617,Fish,Frozen shrimps and prawns,en
"High density polyethylene resin, pellets, for customs clearance and import declaration, shipping term CIF.",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"Export grade insecticides, certified",380891,Chemicals,Insecticides,en
"Textured polyester yarn, packed for international trade, for regional retail supply chain, with standard commercial invoice and packing list.",540233,Textiles,Textured polyester yarn,en
"Shipment of mixtures of fruit juices, FOB terms, for bonded warehouse delivery, shipping term CIF.",200990,Food Preparations,Mixtures of fruit juices,en
"冷却去骨黄牛肉 真空包装, for regional retail supply chain, shipping term FOB.",020130,Meat,Fresh or chilled boneless bovine meat,zh
"Household refrigerators, compression, quantity: various, for wholesale",841821,Machinery,"Household refrigerators, compression",en
"Platform bed, wooden, king size, modern, for bulk procurement program, packed in cartons.",940350,Furniture,Wooden bedroom furniture,en
"Bulbs, tubers for planting for industrial/commercial use, for export under standard commercial terms, packed in cartons.",060110,Plants,"Bulbs, tubers for planting",en
"Bananas, fresh or dried, packed for international trade",080300,Fruits,"Bananas, fresh or dried",en
"Unroasted coffee beans, Colombian origin, for export under standard commercial terms, for mixed-lot cargo.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",en
"Road tractors for semi-trailers, quantity: various, for wholesale",870120,Vehicles,Road tractors for semi-trailers,en
"Storage units for computers, meeting international standards, for bulk procurement program, with standard commercial invoice and packing list.",847170,Electronics,Storage units for computers,en
"Export grade processing units for digital machines, certified",847150,Electronics,Processing units for digital machines,en
"Imported storage units for computers, customs declaration, for international wholesale distribution, palletized for container shipment.",847170,Electronics,Storage units for computers,en
"มะเขือเทศเชอร์รี่สด แพ็ค 250 กรัม, for export under standard commercial terms, for mixed-lot cargo.",070200,Vegetables,"Tomatoes, fresh or chilled",th
"Chemical wood pulp, bleached, quantity: various, for wholesale",470321,Paper,"Chemical wood pulp, bleached",en
"Other parts for motor vehicles, meeting international standards",870899,Vehicles,Other parts for motor vehicles,en
"Wheat and meslin, other, commercial grade, for import",100199,Cereals,"Wheat and meslin, other",en
"Aeroplanes, unladen weight 2000-15000kg, quantity: various, for wholesale, for regional retail supply chain, shipping term CIF.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"น้ำตาลทรายขาวบริสุทธิ์ ICUMSA 45, for bulk procurement program, shipping term CIF.",170199,Sugar,Other cane or beet sugar,th
"Trade declaration: other needles, catheters, new, for bonded warehouse delivery, with standard commercial invoice and packing list.",901839,Medical,"Other needles, catheters",en
"Electronic integrated circuits, memories - standard quality, bulk shipment, for regional retail supply chain, with standard commercial invoice and packing list.",854232,Electronics,"Electronic integrated circuits, memories",en
"Fresh oranges, meeting international standards, for bonded warehouse delivery, for scheduled maritime transport.",080510,Fruits,Fresh oranges,en
"HDPE resin, specific gravity >0.94",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"เนื้อโคชิ้นพิเศษ สด ไม่ติดกระดูก, for bonded warehouse delivery, for scheduled maritime transport.",020130,Meat,Fresh or chilled boneless bovine meat,th
"Other seats, meeting international standards, for customs clearance and import declaration, for scheduled maritime transport.",940180,Furniture,Other seats,en
"Toilet soap in bars, commercial grade, for import, for bulk procurement program, for 20ft container loading.",340111,Cosmetics,Toilet soap in bars,en
"Trade declaration: printed circuits, new",853400,Electronics,Printed circuits,en
"Samsung Galaxy S24, 5G smartphone, for customs clearance and import declaration, for 20ft container loading.",851712,Electronics,Smartphones,en
"Trade declaration: textured polyester yarn, new, for international wholesale distribution, palletized for container shipment.",540233,Textiles,Textured polyester yarn,en
"Aeroplanes, unladen weight 2000-15000kg - standard quality, bulk shipment, for bulk procurement program, for scheduled maritime transport.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Large screen colour TV, 85 inch, 8K",852872,Electronics,Other colour TV receivers,en
"Other structures of iron or steel, meeting international standards, for international wholesale distribution, shipping term FOB.",730890,Steel,Other structures of iron or steel,en
"Shipment of petroleum oils, crude, FOB terms, for cross-border shipment, for scheduled maritime transport.",270900,Mineral Fuels,"Petroleum oils, crude",en
"Smart TV, 65 inch, colour, with WiFi, for international wholesale distribution, for 20ft container loading.",852872,Electronics,Other colour TV receivers,en
"MacBook Pro, 13 inch, M2 chip, for industrial procurement contract, for scheduled maritime transport.",847130,Electronics,Portable digital computers <10kg,en
"Shipment of other digital processing units, FOB terms, for customs clearance and import declaration, shipping term CIF.",847141,Electronics,Other digital processing units,en
"Imported upholstered seats with wooden frames, customs declaration, for regional retail supply chain, for 20ft container loading.",940161,Furniture,Upholstered seats with wooden frames,en
"Imported sweet biscuits, customs declaration, for cross-border shipment, for scheduled maritime transport.",190531,Food Preparations,Sweet biscuits,en
"Milk powder, fat content ≤1.5%, meeting international standards, for cross-border shipment, with standard commercial invoice and packing list.",040210,Dairy,"Milk powder, fat content ≤1.5%",en
"Shipment of insecticides, FOB terms, for industrial procurement contract, with standard commercial invoice and packing list.",380891,Chemicals,Insecticides,en
"Cartons, boxes of corrugated paper, packed for international trade",481910,Paper,"Cartons, boxes of corrugated paper",en
"เนื้อวัวไม่มีกระดูก สด ไม่แช่แข็ง, for cross-border shipment, with standard commercial invoice and packing list.",020130,Meat,Fresh or chilled boneless bovine meat,th
"Polyethylene terephthalate (PET), meeting international standards, for regional retail supply chain, shipping term CIF.",390760,Plastics,Polyethylene terephthalate (PET),en
"Green coffee, not roasted, specialty grade, for customs clearance and import declaration, for 20ft container loading.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",en
"Trade declaration: cold-rolled iron or steel coil, new, for regional retail supply chain, for 20ft container loading.",720917,Steel,Cold-rolled iron or steel coil,en
"Other medical instruments, meeting international standards, for cross-border shipment, for mixed-lot cargo.",901890,Medical,Other medical instruments,en
"生咖啡豆 阿拉比卡 未烘焙, for bonded warehouse delivery, shipping term FOB.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",zh
"Export grade printed circuits, certified, for regional retail supply chain, with standard commercial invoice and packing list.",853400,Electronics,Printed circuits,en
"Passenger automobile, 1500-3000cc petrol, for industrial procurement contract, for scheduled maritime transport.",870323,Vehicles,"Motor cars, 1500-3000cc",en
Other parts for motor vehicles for industrial/commercial use,870899,Vehicles,Other parts for motor vehicles,en
"Fresh oranges, quantity: various, for wholesale, for bonded warehouse delivery, shipping term CIF.",080510,Fruits,Fresh oranges,en
"Spark-ignition engines >1000cc, commercial grade, for import, for customs clearance and import declaration, with standard commercial invoice and packing list.",840734,Machinery,Spark-ignition engines >1000cc,en
"Static converters, packed for international trade, for bonded warehouse delivery, for 20ft container loading.",850440,Electronics,Static converters,en
"Digital signal processors, IC chips, for cross-border shipment, shipping term FOB.",854231,Electronics,"Electronic integrated circuits, processors",en
Printed circuits for industrial/commercial use,853400,Electronics,Printed circuits,en
"เมล็ดกาแฟเขียว ไม่ได้คั่ว ไม่ได้สกัดคาเฟอีน, for cross-border shipment, for 20ft container loading.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",th
